t_day,t_month,t_year,Genre,views,likes,dislikes,comment_count
22,22,22,Music,27039153,564493,12675,34246
2,2,2,Sports,1190828,21941,609,2069
4,4,4,Comedy,408504,10268,13209,5136
5,5,5,Entertainment,3052072,132775,1111,9571
6,6,6,Autos & Vehicles,3044139,97030,928,10591
13,13,13,Entertainment,846124,64794,1237,5772
13,13,13,Comedy,2592896,226418,1773,9127
6,6,6,Entertainment,122054,7081,103,893
16,16,16,Howto & Style,1246192,51086,2130,6535
7,7,7,Film & Animation,1547238,8986,1804,1847
6,6,6,Pets & Animals,514888,22136,244,771
7,7,7,Entertainment,500395,12227,693,1552
3,3,3,Science & Technology,6890,199,9,72
5,5,5,Entertainment,354013,11346,353,1858
7,7,7,People & Blogs,487593,38961,285,2656
13,13,13,Howto & Style,285462,6850,376,919
2,2,2,Entertainment,373105,11555,264,1097
7,7,7,Entertainment,396791,8032,759,1534
10,10,10,Entertainment,538365,12337,603,1185
5,5,5,People & Blogs,104822,4485,136,613
7,7,7,Entertainment,978124,28223,1965,3098
5,5,5,Entertainment,308787,7171,656,1175
5,5,5,Entertainment,2375055,29334,3012,4080
2,2,2,Entertainment,606048,14466,876,2148
1,1,1,Entertainment,235207,8930,306,1394
7,7,7,Entertainment,284888,10267,230,1403
7,7,7,Howto & Style,937914,52401,634,3382
6,6,6,Entertainment,380261,12021,874,2370
3,3,3,Howto & Style,1808784,68556,5864,6872
5,5,5,Howto & Style,1027805,47164,490,5746
12,12,12,Entertainment,1836595,169237,3077,37319
4,4,4,Howto & Style,1203227,72652,1145,9413
5,5,5,Entertainment,1678782,108402,799,22457
6,6,6,Howto & Style,97879,4080,92,489
13,13,13,Entertainment,424016,10527,532,1257
7,7,7,Entertainment,197963,5260,1028,1172
6,6,6,Entertainment,493451,12093,723,1457
3,3,3,Howto & Style,891462,47610,596,2480
8,8,8,Entertainment,238791,7035,363,947
7,7,7,Science & Technology,1424952,39847,1530,4261
6,6,6,Entertainment,2032507,196113,1657,40823
7,7,7,Entertainment,601643,16376,927,2753
5,5,5,Entertainment,2846563,158779,1820,13843
8,8,8,Entertainment,356012,9168,892,1571
13,13,13,Howto & Style,2272385,87005,4820,7826
5,5,5,People & Blogs,9560,239,19,61
5,5,5,Science & Technology,26983,137,16,71
7,7,7,Music,621513,19267,2205,2687
14,14,14,Music,6261069,153566,9818,9387
3,3,3,People & Blogs,2472,19,2,4
1,1,1,Music,3014847,42556,2791,0
7,7,7,Music,4600718,167704,2623,5290
4,4,4,Film & Animation,90365,0,0,0
5,5,5,Entertainment,713285,16139,887,3648
7,7,7,Entertainment,776037,20353,719,5946
5,5,5,Entertainment,1071848,26076,939,6192
2,2,2,Entertainment,726006,16972,734,3865
5,5,5,Entertainment,940127,19857,928,4310
2,2,2,Pets & Animals,29723,2083,8,227
2,2,2,Pets & Animals,66367,3370,39,240
6,6,6,Pets & Animals,437271,6959,88,635
13,13,13,Comedy,4625928,377131,4362,18752
8,8,8,Howto & Style,1285332,78447,1293,4041
21,21,21,Howto & Style,2763416,101597,2308,10506
5,5,5,People & Blogs,1381198,123524,1029,11970
6,6,6,Science & Technology,5068126,206489,18261,51847
6,6,6,Pets & Animals,2620061,59416,1201,8529
3,3,3,Science & Technology,927966,21659,987,2396
8,8,8,Howto & Style,34032,1930,14,182
4,4,4,Entertainment,1034024,17370,518,1033
6,6,6,Music,286155,24031,343,2004
1,1,1,Film & Animation,361432,2981,202,296
6,6,6,Comedy,243102,4570,247,679
25,25,25,Music,41803845,628861,42833,39363
3,3,3,Entertainment,312769,8665,360,1062
7,7,7,Howto & Style,714359,9635,808,2025
7,7,7,Entertainment,423039,6332,244,1321
3,3,3,Entertainment,4442,46,3,7
3,3,3,Comedy,435210,4028,318,845
1,1,1,Comedy,176254,2550,135,158
9,9,9,Comedy,1584221,15815,704,861
4,4,4,News & Politics,114280,888,72,440
4,4,4,Howto & Style,85484,3880,50,357
3,3,3,Science & Technology,86721,3020,38,280
1,1,1,Entertainment,235293,7171,61,392
24,24,24,Music,5534278,45128,1591,806
13,13,13,Entertainment,1682086,35074,1416,2086
5,5,5,People & Blogs,35916,43,55,70
3,3,3,Education,2452,2,0,0
8,8,8,Entertainment,104073,1770,56,88
1,1,1,Sports,141052,776,70,411
1,1,1,News & Politics,7260,205,14,23
6,6,6,Film & Animation,141954,10711,95,674
3,3,3,Sports,981884,21664,368,1967
3,3,3,Entertainment,333553,4948,186,404
5,5,5,Entertainment,28448,611,11,62
1,1,1,Entertainment,419382,8073,543,1195
6,6,6,Entertainment,6062089,123467,26995,35574
1,1,1,Sports,115141,4886,19,213
1,1,1,Entertainment,1774,14,5,10
5,5,5,Howto & Style,271779,14215,148,665
6,6,6,People & Blogs,398429,17454,1322,2075
1,1,1,Entertainment,378750,5642,146,675
5,5,5,Music,71849,7625,25,1480
1,1,1,Comedy,47455,826,13,49
2,2,2,Comedy,73984,3676,78,353
6,6,6,Music,110338,4173,222,304
2,2,2,Music,82048,3539,144,347
10,10,10,Music,157137,6968,349,486
7,7,7,News & Politics,396970,2551,211,1107
7,7,7,Science & Technology,317281,6580,221,542
3,3,3,Comedy,1044836,26856,1230,1798
8,8,8,Comedy,3951217,115174,5488,4153
8,8,8,Comedy,2387617,70807,3746,2838
5,5,5,Comedy,7418792,324091,14954,14554
23,23,23,Music,447916,5736,219,466
7,7,7,Entertainment,142076,1942,87,204
6,6,6,Music,196571,8519,132,433
13,13,13,Comedy,1892728,20638,2567,2477
2,2,2,Howto & Style,230966,4475,137,410
2,2,2,Entertainment,1824164,13734,6608,1898
3,3,3,Entertainment,240093,7848,69,164
6,6,6,Music,2181296,69312,2534,2100
15,15,15,Music,10384060,165263,5139,5330
11,11,11,Music,7915761,101493,4701,4079
13,13,13,Music,8739175,190988,4084,6656
3,3,3,Entertainment,382791,22881,680,3359
4,4,4,Entertainment,21175,73,2,1
6,6,6,Sports,836530,15240,465,3004
5,5,5,Music,39720,2229,90,357
6,6,6,News & Politics,215732,1076,74,1284
5,5,5,Entertainment,66021,2136,94,543
1,1,1,Film & Animation,523803,9870,134,387
4,4,4,Film & Animation,15960127,374825,3823,9059
18,18,18,Film & Animation,24152049,429341,5175,28740
10,10,10,Film & Animation,19434177,363428,6283,19622
8,8,8,Film & Animation,12382809,328876,7238,14836
9,9,9,Science & Technology,1710398,91315,2137,8035
5,5,5,Film & Animation,3689210,1836,216,677
1,1,1,Sports,242642,2169,177,746
3,3,3,Howto & Style,220118,7733,111,386
8,8,8,Science & Technology,846278,51118,2642,14187
2,2,2,Howto & Style,243232,9530,203,953
6,6,6,Howto & Style,303174,9607,245,323
6,6,6,News & Politics,731180,8105,557,1562
16,16,16,Howto & Style,404986,16859,312,959
14,14,14,Sports,17345023,415475,16586,32172
8,8,8,Pets & Animals,975327,7745,431,796
10,10,10,People & Blogs,299365,5630,249,0
3,3,3,Sports,60262,4804,122,736
4,4,4,Science & Technology,93250,1467,42,311
6,6,6,Science & Technology,303274,1676,339,457
9,9,9,News & Politics,152933,2728,2704,3432
14,14,14,Entertainment,1537417,64534,1877,4321
7,7,7,Entertainment,736276,36904,748,1829
8,8,8,Music,3873702,149246,2314,9939
2,2,2,Music,157522,8012,85,286
8,8,8,Music,28860037,1251825,26134,77905
9,9,9,Music,1581379,109453,991,3772
10,10,10,People & Blogs,799878,20436,4523,1732
6,6,6,Howto & Style,2460216,114540,1941,6169
4,4,4,News & Politics,36168,463,165,748
6,6,6,Entertainment,54338,280,15,68
6,6,6,News & Politics,27178,242,25,85
5,5,5,Sports,22302,83,75,63
17,17,17,Entertainment,1153185,41153,796,3598
1,1,1,Comedy,184579,2565,84,242
2,2,2,News & Politics,60549,391,121,1011
1,1,1,News & Politics,473026,1800,638,1995
1,1,1,Entertainment,135325,1472,467,395
9,9,9,Entertainment,2507969,40658,4659,9763
1,1,1,Entertainment,87832,8454,125,2190
3,3,3,Howto & Style,3987,100,4,15
27,27,27,Film & Animation,5073263,58055,1827,6541
3,3,3,Entertainment,506930,8380,118,283
4,4,4,Autos & Vehicles,56317,536,136,28
7,7,7,Gaming,1316002,50126,1866,12794
8,8,8,Gaming,1438726,43294,1284,9771
6,6,6,Science & Technology,89218,2510,269,589
18,18,18,Comedy,1273300,40109,749,5769
4,4,4,Sports,149257,178,26,102
5,5,5,Sports,20541,10,103,17
6,6,6,News & Politics,247280,7585,581,0
5,5,5,News & Politics,156114,1737,218,1167
4,4,4,Entertainment,67078,778,33,84
1,1,1,Entertainment,361213,5221,217,423
1,1,1,Sports,11917,128,12,43
2,2,2,Entertainment,9627575,1007,94,264
5,5,5,Entertainment,202879,0,0,194
1,1,1,Entertainment,48472,133,118,36
7,7,7,Entertainment,107574,2787,322,1680
14,14,14,Entertainment,1953661,16054,1006,1621
4,4,4,Entertainment,1171174,10633,1002,5383
8,8,8,Howto & Style,494907,1660,4285,1078
13,13,13,Entertainment,2469559,41026,1242,2203
4,4,4,Pets & Animals,1604697,43585,676,7838
1,1,1,Sports,81377,655,25,177
4,4,4,People & Blogs,5696,8,0,1
16,16,16,Music,19150418,433074,25366,22069
6,6,6,Music,828587,38326,654,1088
7,7,7,Music,2504920,100045,1741,3012
8,8,8,Music,565798,14884,653,608
23,23,23,Music,40087764,835657,25283,38305
2,2,2,Comedy,522265,25431,802,1171
5,5,5,News & Politics,112160,171,45,381
8,8,8,News & Politics,10070,41,25,91
5,5,5,Entertainment,15066,526,61,338
3,3,3,Howto & Style,2082,20,0,5
15,15,15,Entertainment,1139279,41681,816,5636
5,5,5,Entertainment,107053,2709,67,644
7,7,7,Entertainment,136109,2479,573,1302
11,11,11,Film & Animation,3065887,47974,2445,5101
7,7,7,News & Politics,2666775,30949,2791,14717
4,4,4,Education,341118,8166,329,1042
12,12,12,News & Politics,265096,5109,1672,5676
3,3,3,Education,146681,6011,389,624
11,11,11,Education,845650,15987,647,1193
15,15,15,Science & Technology,42799458,564804,33554,180913
4,4,4,Howto & Style,236079,2613,341,706
3,3,3,Howto & Style,41254,604,86,96
9,9,9,Comedy,782535,20902,1932,1767
3,3,3,Entertainment,220398,4541,638,2724
1,1,1,Sports,498117,4293,222,1712
3,3,3,Autos & Vehicles,25513,60,3,25
6,6,6,Entertainment,55910,213,150,122
15,15,15,Sports,787517,6420,1940,8124
5,5,5,Entertainment,96835,264,318,93
6,6,6,Entertainment,216939,1208,128,143
3,3,3,Science & Technology,14175,344,13,106
6,6,6,Nonprofits & Activism,357429,13341,619,1984
5,5,5,Pets & Animals,230002,5187,109,662
4,4,4,Pets & Animals,4623012,92059,2133,14031
8,8,8,Comedy,1669402,123187,879,9577
1,1,1,Comedy,51143,258,5,10
2,2,2,Pets & Animals,5817,22,0,1
4,4,4,Comedy,8232,85,5,11
1,1,1,Pets & Animals,2184856,24494,2499,3238
3,3,3,Pets & Animals,1443592,17816,1700,2384
4,4,4,Comedy,330958,1322,110,141
5,5,5,Howto & Style,76536,3536,199,123
7,7,7,News & Politics,400997,1503,395,1063
1,1,1,Autos & Vehicles,4524,44,7,9
14,14,14,Music,1045195,34023,515,1459
5,5,5,Music,689313,38244,549,1680
12,12,12,Music,1329970,37146,1058,1283
12,12,12,Comedy,2295275,32895,2255,4576
3,3,3,Education,1505292,22299,1279,3254
6,6,6,Comedy,2277409,82882,1226,5158
7,7,7,Film & Animation,1120227,395,44,18
1,1,1,Entertainment,1213178,22875,408,1451
8,8,8,Entertainment,6492425,105915,14429,3623
4,4,4,News & Politics,34284,144,212,278
8,8,8,Travel & Events,416921,3156,3432,2564
10,10,10,Travel & Events,1069986,11867,9000,9775
3,3,3,News & Politics,67471,40,15,34
7,7,7,Entertainment,983701,11039,1167,1359
4,4,4,People & Blogs,161060,8392,428,1058
8,8,8,Entertainment,7957820,110407,4211,0
2,2,2,Pets & Animals,96625,5499,32,412
1,1,1,Sports,357946,2378,343,492
8,8,8,Entertainment,816073,52579,1727,4520
7,7,7,Film & Animation,1526404,1665,105,230
4,4,4,Science & Technology,1230476,52468,521,2099
4,4,4,Science & Technology,1292218,49464,709,2704
3,3,3,Film & Animation,1335741,10209,326,496
7,7,7,People & Blogs,282736,2058,56,206
11,11,11,Howto & Style,347257,7430,398,992
4,4,4,Film & Animation,59596,1140,9,95
3,3,3,News & Politics,38316,124,26,146
4,4,4,Sports,709274,4822,218,853
4,4,4,Comedy,50593,835,85,50
4,4,4,News & Politics,931823,5616,764,4456
1,1,1,Howto & Style,94403,3173,49,270
5,5,5,Gaming,691970,13942,786,3007
11,11,11,Music,19586636,809476,18295,66540
14,14,14,Music,60635812,994986,34165,55653
5,5,5,People & Blogs,27571,286,6,41
1,1,1,Music,65973,3677,454,836
6,6,6,Film & Animation,1776291,96594,2338,25772
6,6,6,Film & Animation,145560,5114,232,728
9,9,9,People & Blogs,1721076,8388,930,1382
4,4,4,Music,41714,2096,40,450
1,1,1,Comedy,644853,11312,269,633
2,2,2,Entertainment,323801,9918,92,438
4,4,4,Howto & Style,5160,152,11,15
5,5,5,Science & Technology,981439,73752,864,4871
10,10,10,News & Politics,254521,1335,281,750
1,1,1,Entertainment,864189,18811,399,1074
1,1,1,Entertainment,409337,10183,305,654
5,5,5,Entertainment,1104595,21830,234,1287
9,9,9,Entertainment,1048474,16166,1633,2317
15,15,15,Entertainment,1356734,17910,376,841
1,1,1,Entertainment,175852,15909,200,852
7,7,7,Entertainment,2316153,96546,1087,10106
7,7,7,Comedy,1207578,8198,243,446
6,6,6,Music,702208,42577,723,2692
7,7,7,Music,27335197,1260110,32962,55385
2,2,2,Music,2559730,139744,1296,4861
1,1,1,Comedy,249221,6236,303,457
12,12,12,Sports,3095325,40946,1082,2472
7,7,7,Entertainment,2618541,153570,2130,14646
2,2,2,Film & Animation,353484,24968,344,2271
1,1,1,Film & Animation,4427381,96391,5508,12726
15,15,15,Pets & Animals,1309130,20192,1004,3434
6,6,6,Sports,533815,6191,119,684
6,6,6,Gaming,4377973,203944,3406,13708
3,3,3,Education,188210,6197,123,437
2,2,2,Howto & Style,26225,728,28,121
1,1,1,News & Politics,31062,116,10,80
1,1,1,Entertainment,719962,23271,256,877
1,1,1,Entertainment,319297,5104,173,538
2,2,2,Entertainment,1542228,20254,1199,1342
10,10,10,Film & Animation,2776665,54243,866,1801
5,5,5,News & Politics,244014,1103,872,1436
4,4,4,Entertainment,1580705,37759,703,1873
5,5,5,Howto & Style,37376,2093,37,523
2,2,2,Entertainment,442716,30499,323,15770
9,9,9,Entertainment,1487010,29233,2573,5942
6,6,6,Entertainment,3748683,93450,8388,15108
4,4,4,Entertainment,1761886,34692,2184,6109
4,4,4,Entertainment,2374251,49509,3038,8545
5,5,5,People & Blogs,323471,6081,1425,1070
2,2,2,Pets & Animals,99681,10091,49,1256
4,4,4,Entertainment,163472,1383,227,320
9,9,9,Music,909247,6432,568,614
11,11,11,People & Blogs,188322,4773,173,720
3,3,3,Howto & Style,65277,1967,61,152
8,8,8,Comedy,1940700,56187,4960,3798
7,7,7,People & Blogs,2210090,6435,847,1214
5,5,5,Comedy,1642644,52190,2122,3749
7,7,7,Comedy,1112006,38196,1299,2436
4,4,4,Comedy,1067802,42552,18428,10165
6,6,6,Comedy,1996355,62409,2733,4229
7,7,7,Comedy,1617018,47921,1253,2833
14,14,14,Comedy,1272242,57418,1868,4790
21,21,21,Comedy,1312364,37765,1442,3156
4,4,4,Comedy,1896340,59877,3294,5942
8,8,8,Comedy,1429023,33689,8370,4003
13,13,13,Comedy,2141439,53450,3854,4276
3,3,3,Comedy,11445,178,8,160
1,1,1,Entertainment,3046,6,3,2
3,3,3,Music,3935638,421533,2434,34274
6,6,6,Music,6217292,635452,10339,79385
3,3,3,Music,5739252,782030,9905,90039
3,3,3,Howto & Style,390261,9474,3091,3207
6,6,6,Howto & Style,2723989,231117,3262,73205
2,2,2,Travel & Events,584565,13758,519,2427
1,1,1,Film & Animation,637942,793,38,137
6,6,6,News & Politics,88808,637,79,236
8,8,8,News & Politics,1551300,4893,5016,3164
7,7,7,Sports,1462885,10301,751,4811
3,3,3,Sports,1426393,26029,588,3800
1,1,1,Sports,1270477,12058,620,6865
7,7,7,Sports,96521,1918,62,325
3,3,3,Education,18096,1370,6,149
12,12,12,Film & Animation,11979805,408461,6516,17964
6,6,6,Howto & Style,43651,1411,49,148
7,7,7,Howto & Style,1018706,68667,2854,2726
5,5,5,Howto & Style,52534,6427,60,325
9,9,9,Travel & Events,2093619,38187,1960,5714
7,7,7,Pets & Animals,355153,10936,434,441
11,11,11,Travel & Events,1224103,30720,1389,4698
1,1,1,Music,1092539,27133,2189,2106
17,17,17,Music,55054077,1378923,33465,67092
3,3,3,Music,43449654,1788960,24548,93428
7,7,7,Music,36101955,998395,22585,50709
7,7,7,Music,27350528,1025895,17572,40899
2,2,2,Music,283885,9320,166,349
13,13,13,Music,7061203,203630,3935,8943
6,6,6,Music,217531,2279,213,463
4,4,4,Entertainment,808445,7280,200,388
2,2,2,Entertainment,629293,6117,148,412
6,6,6,Entertainment,1201905,32974,273,0
3,3,3,Entertainment,1388010,31247,540,956
10,10,10,Music,24371,74,9,16
3,3,3,Science & Technology,113213,2183,119,187
13,13,13,Comedy,1235835,20323,429,2517
3,3,3,Pets & Animals,339256,17267,85,949
6,6,6,Comedy,1037921,20911,539,5718
8,8,8,Film & Animation,1865136,39025,4274,7258
2,2,2,Music,180606,2400,159,239
14,14,14,Pets & Animals,713574,12448,146,1474
2,2,2,Music,2717,5,0,0
1,1,1,Sports,1734377,30367,1928,0
2,2,2,Sports,109740,287,15,150
12,12,12,Entertainment,1240734,15577,286,894
1,1,1,Entertainment,276170,9504,291,698
2,2,2,Entertainment,720317,11776,323,503
1,1,1,Entertainment,1548962,122670,1421,15016
4,4,4,Entertainment,1266647,43096,615,2447
3,3,3,Entertainment,4403389,83610,2400,0
3,3,3,Entertainment,932020,28584,237,0
5,5,5,Entertainment,554250,9325,180,459
1,1,1,Entertainment,531285,12087,241,290
5,5,5,Music,169934,11759,305,907
12,12,12,Music,739428,29211,750,1691
19,19,19,Comedy,661572,6374,477,502
4,4,4,Autos & Vehicles,836305,9164,664,3133
6,6,6,Science & Technology,2168569,58994,1714,5455
8,8,8,News & Politics,564897,10833,257,1392
6,6,6,Music,864149,2772,414,193
6,6,6,Music,71075,602,211,59
5,5,5,Comedy,1310346,95629,1292,6064
8,8,8,Education,2032821,124607,1183,8577
12,12,12,Sports,2929399,39859,556,2852
1,1,1,Comedy,628234,12672,208,701
7,7,7,People & Blogs,839162,7662,286,677
3,3,3,Comedy,1831572,20254,530,724
5,5,5,Entertainment,999933,21797,266,1112
4,4,4,People & Blogs,613552,5432,191,514
1,1,1,Music,82972,3484,78,198
4,4,4,Music,299632,12692,202,576
10,10,10,Music,32730338,1199986,26862,67809
7,7,7,Music,8617757,369736,37151,92488
5,5,5,Music,26448434,911883,53873,127481
11,11,11,Music,17629966,682328,35479,61132
8,8,8,People & Blogs,298927,2616,1556,1561
13,13,13,News & Politics,906941,19292,31651,32932
3,3,3,Entertainment,160571,1646,1287,985
9,9,9,Sports,1399244,15373,1081,5644
2,2,2,Music,178313,9072,98,656
9,9,9,Music,1065716,50829,1057,3347
13,13,13,People & Blogs,2997289,162747,25088,36602
15,15,15,Howto & Style,918115,40462,815,2760
4,4,4,Music,3424478,79048,3650,4051
24,24,24,Music,21980138,247098,11847,9554
4,4,4,Music,2448853,70436,3197,3888
4,4,4,People & Blogs,104929,2461,52,236
1,1,1,Music,99619,3959,158,335
3,3,3,Music,985433,97405,2486,6844
5,5,5,Entertainment,707170,9867,277,183
2,2,2,News & Politics,21180,191,25,157
15,15,15,People & Blogs,7854612,185632,104831,52364
9,9,9,Entertainment,566512,11953,539,1127
1,1,1,Howto & Style,319303,13486,237,1339
9,9,9,Entertainment,360432,3899,231,436
2,2,2,Entertainment,343759,3079,142,292
9,9,9,Music,364986,15436,230,772
1,1,1,News & Politics,88560,1111,203,2128
2,2,2,Entertainment,315148,3798,93,167
1,1,1,Sports,161543,2765,113,658
15,15,15,Comedy,3713832,49006,7354,9149
4,4,4,People & Blogs,169977,6152,150,315
6,6,6,Sports,409118,5296,135,939
5,5,5,Entertainment,1001742,13136,2277,1656
2,2,2,Howto & Style,77302,3756,123,222
1,1,1,Entertainment,165494,3487,238,512
1,1,1,Entertainment,144521,3498,322,522
7,7,7,Film & Animation,1789817,38476,3328,6589
2,2,2,Film & Animation,2844271,60500,3667,8122
6,6,6,Film & Animation,3638866,95251,6527,19029
14,14,14,Film & Animation,1089753,24060,955,2287
8,8,8,Film & Animation,2017280,38666,2440,5887
6,6,6,Film & Animation,2303131,42395,2237,6802
5,5,5,Film & Animation,1013084,26461,1293,4259
11,11,11,Film & Animation,1875212,32206,1931,4543
1,1,1,Film & Animation,1884144,55281,3657,7353
7,7,7,Film & Animation,2019235,52997,3697,9167
2,2,2,Film & Animation,2626520,69894,4546,11647
8,8,8,Film & Animation,855708,20606,644,2001
18,18,18,Film & Animation,4566973,84363,10372,11214
6,6,6,Film & Animation,2098612,52336,2839,10848
14,14,14,Howto & Style,524619,11368,500,845
9,9,9,Entertainment,263464,1090,3158,994
4,4,4,Autos & Vehicles,136837,2504,39,505
9,9,9,Howto & Style,127987,2170,280,409
8,8,8,Comedy,4807512,111866,3883,9136
2,2,2,News & Politics,365455,2663,1954,4834
2,2,2,News & Politics,291653,3788,603,3093
3,3,3,News & Politics,3068,20,5,10
16,16,16,Entertainment,1315533,24569,1627,4044
1,1,1,Science & Technology,435451,9871,164,920
11,11,11,Sports,9220058,109125,33223,23799
1,1,1,Science & Technology,46190,2148,101,379
4,4,4,Comedy,2366705,50495,3313,5426
2,2,2,Education,61315,1126,210,335
2,2,2,Science & Technology,3797,17,3,7
1,1,1,News & Politics,425866,2018,344,2497
8,8,8,Comedy,806660,37548,932,2027
7,7,7,People & Blogs,210065,23366,338,1075
4,4,4,Entertainment,874883,18686,711,844
1,1,1,Howto & Style,471266,23634,460,1714
10,10,10,People & Blogs,139039,3206,259,596
6,6,6,Entertainment,189308,2394,362,265
8,8,8,People & Blogs,2197295,35502,601,3627
15,15,15,Howto & Style,668491,40752,706,22279
3,3,3,Entertainment,1233722,115781,1615,9706
5,5,5,Entertainment,427242,9377,2423,3654
16,16,16,Entertainment,570053,14382,994,3016
6,6,6,Entertainment,622855,14227,2312,4051
7,7,7,Entertainment,537188,13365,2256,3959
7,7,7,News & Politics,389613,2430,1013,2660
5,5,5,News & Politics,218669,1329,1163,3666
3,3,3,News & Politics,37199,195,86,49
5,5,5,Comedy,2654222,29306,2643,3972
5,5,5,News & Politics,73083,4616,226,572
13,13,13,Howto & Style,359135,17772,306,1539
14,14,14,Entertainment,5816067,216895,11660,22775
8,8,8,Autos & Vehicles,3460380,17465,1099,2794
4,4,4,Gaming,790794,19422,902,253
2,2,2,Gaming,755327,19215,851,246
8,8,8,Howto & Style,469727,22479,1139,2243
18,18,18,Howto & Style,982363,58020,1849,4770
3,3,3,Autos & Vehicles,35573,230,19,19
1,1,1,Travel & Events,80200,1194,1142,1031
2,2,2,Comedy,3741812,314872,2647,12248
7,7,7,People & Blogs,370239,7141,478,1280
7,7,7,People & Blogs,2433987,65991,9011,9450
9,9,9,Entertainment,161101,18308,64,927
7,7,7,Sports,83121,321,50,442
7,7,7,Entertainment,194288,7920,147,858
1,1,1,Entertainment,988948,20312,2614,3244
28,28,28,Entertainment,15346180,551373,16115,27094
2,2,2,Music,7840,253,17,36
11,11,11,Howto & Style,871997,62012,1404,7004
7,7,7,Entertainment,992294,48246,453,854
9,9,9,Howto & Style,104249,4553,400,1287
14,14,14,Entertainment,1243560,23527,2060,2151
11,11,11,Howto & Style,178765,10218,137,903
13,13,13,Howto & Style,1179451,56241,1175,101591
25,25,25,Howto & Style,1101782,38633,1113,2756
8,8,8,Entertainment,1836620,139237,5668,11651
5,5,5,Howto & Style,1097258,70445,1765,103300
7,7,7,Howto & Style,3963050,326557,2372,137991
12,12,12,Howto & Style,431052,22001,610,13643
7,7,7,News & Politics,1218771,8737,1004,3906
8,8,8,Entertainment,549371,19203,527,568
11,11,11,Entertainment,351519,5979,231,161
4,4,4,Entertainment,511047,14224,434,187
3,3,3,News & Politics,2758,42,9,25
8,8,8,Education,424293,24378,818,2785
13,13,13,Film & Animation,2167517,32657,2501,7025
11,11,11,Film & Animation,1372300,23179,1254,4249
4,4,4,Gaming,64584,4138,33,298
6,6,6,Howto & Style,631310,35839,508,2310
3,3,3,News & Politics,70118,853,170,799
3,3,3,Pets & Animals,791774,27868,705,3738
8,8,8,News & Politics,1074082,13987,499,2727
15,15,15,Science & Technology,3291206,124998,1555,8131
1,1,1,Science & Technology,781799,49935,415,5662
2,2,2,Science & Technology,520176,15243,70,1394
8,8,8,Autos & Vehicles,302660,19060,227,1868
10,10,10,Science & Technology,20658640,384958,12623,38514
6,6,6,Science & Technology,207272,6802,110,603
7,7,7,Science & Technology,472575,1625,164,659
1,1,1,Sports,1309430,9475,690,4656
7,7,7,Music,1912665,99346,2381,7789
7,7,7,Music,3821846,177700,4842,15815
6,6,6,Music,1277479,73920,1765,10565
5,5,5,Music,437509,36907,306,4449
3,3,3,Gaming,2102111,50978,1542,8722
2,2,2,Music,1831529,23876,2490,2638
3,3,3,Music,2090172,26797,2721,2792
4,4,4,Entertainment,507760,8960,606,951
2,2,2,Entertainment,11161971,218633,5211,18871
8,8,8,Comedy,5122352,204630,6097,8952
4,4,4,Comedy,2512491,25134,2183,1906
5,5,5,Pets & Animals,1113089,33670,794,1473
3,3,3,People & Blogs,1830129,49693,1010,2010
1,1,1,News & Politics,128309,1127,155,836
6,6,6,News & Politics,2591777,12534,1502,15778
10,10,10,Howto & Style,281689,10722,439,789
12,12,12,Howto & Style,969307,43087,1192,2959
7,7,7,Howto & Style,328740,33663,288,2665
7,7,7,Sports,21005589,59281,176903,65181
8,8,8,News & Politics,689798,3377,1341,2044
1,1,1,Sports,2762839,14362,37877,21507
4,4,4,Pets & Animals,1247515,27444,923,3870
3,3,3,Music,16387,1227,12,159
11,11,11,Howto & Style,438733,11622,333,704
11,11,11,Sports,393218,9645,171,587
26,26,26,Music,23502572,676467,15993,52432
1,1,1,Entertainment,114489,3119,88,168
2,2,2,Entertainment,313962,6506,202,279
4,4,4,Entertainment,699104,12224,326,710
3,3,3,Entertainment,3322130,35099,6902,4030
1,1,1,Entertainment,1142163,51717,351,1942
5,5,5,Film & Animation,23910,208,8,42
7,7,7,Film & Animation,2579421,91743,9507,20462
9,9,9,Film & Animation,5986604,192698,10617,25712
7,7,7,Film & Animation,3922298,129154,12466,38382
1,1,1,Film & Animation,2142891,72620,1985,11349
8,8,8,Film & Animation,2052405,85151,2794,8238
5,5,5,Film & Animation,2522036,89496,2950,21143
7,7,7,Film & Animation,2339940,82038,1925,7852
9,9,9,Film & Animation,8999134,147103,7099,19063
9,9,9,Film & Animation,7862567,146603,13924,32632
14,14,14,Film & Animation,5142139,128916,8548,22156
9,9,9,Film & Animation,3009019,89995,2868,11680
17,17,17,Film & Animation,5456838,130602,11262,21974
6,6,6,Comedy,240282,14884,342,1918
1,1,1,Sports,593120,2286,259,3250
6,6,6,Comedy,1970963,68401,1793,2334
1,1,1,Entertainment,28539,681,25,45
5,5,5,News & Politics,47936,246,52,399
5,5,5,Comedy,863852,23337,1001,1583
4,4,4,Music,21513,770,4,63
9,9,9,People & Blogs,244088,10149,290,376
7,7,7,Science & Technology,1248469,9536,397,2441
8,8,8,Gaming,10256746,268212,34441,68628
11,11,11,People & Blogs,509583,9782,254,1269
5,5,5,Howto & Style,149550,6865,116,555
3,3,3,Entertainment,1426,14,0,0
5,5,5,Sports,444092,3240,229,1154
4,4,4,Sports,582629,6912,302,2161
3,3,3,Sports,389465,2971,192,1565
1,1,1,Sports,1034272,9606,512,4254
